model,horizon,dqi_formal_grade,n_sensors,weighted_rmse_m,median_rmse_m,mean_dqi_formal_score
daily_naive,120min,A,19,0.4459857531365012,0.4659583270549774,88.17121975999969
daily_naive,120min,B,36,0.4497917245336046,0.3854566961526871,81.09086862809298
daily_naive,120min,C,33,0.6664845054579804,0.4179990291595459,68.63137964501534
daily_naive,120min,D,25,0.5185886943853664,0.4501303136348724,48.35119528740936
daily_naive,15min,A,19,0.4462509745687502,0.4657905399799347,88.17121975999969
daily_naive,15min,B,36,0.4502000018308398,0.3854599446058273,81.09086862809298
daily_naive,15min,C,33,0.6665830567493822,0.4180611371994018,68.63137964501534
daily_naive,15min,D,25,0.5186957925056606,0.4503900706768036,48.35119528740936
daily_naive,30min,A,19,0.4462162049833785,0.4658136963844299,88.17121975999969
daily_naive,30min,B,36,0.4501464570952027,0.3854554891586303,81.09086862809298
daily_naive,30min,C,33,0.6665710385122091,0.4180432856082916,68.63137964501534
daily_naive,30min,D,25,0.518681193130704,0.4503900706768036,48.35119528740936
daily_naive,5min,A,19,0.4462738158735592,0.4657765626907348,88.17121975999969
daily_naive,5min,B,36,0.4502349171367373,0.3854636698961257,81.09086862809298
daily_naive,5min,C,33,0.6665913297164744,0.4180742502212524,68.63137964501534
daily_naive,5min,D,25,0.5187056692425412,0.4503900706768036,48.35119528740936
daily_naive,60min,A,19,0.4461420513893537,0.4658609926700592,88.17121975999969
daily_naive,60min,B,36,0.4500340018335353,0.3854497671127319,81.09086862809298
daily_naive,60min,C,33,0.6665448545157092,0.4180122911930084,68.63137964501534
daily_naive,60min,D,25,0.5186466908646284,0.4503231048583984,48.35119528740936
last_value,120min,A,19,0.2044037185009397,0.2310045510530471,88.17121975999969
last_value,120min,B,36,0.2202523765615637,0.1945473626255988,81.09086862809298
last_value,120min,C,33,0.3270280795411274,0.1988089084625244,68.63137964501534
last_value,120min,D,25,0.2139825883594657,0.2065974473953247,48.35119528740936
last_value,15min,A,19,0.0569625925019343,0.0553894601762294,88.17121975999969
last_value,15min,B,36,0.0868876646186118,0.0526033621281385,81.09086862809298
last_value,15min,C,33,0.1372060133530834,0.0533586628735065,68.63137964501534
last_value,15min,D,25,0.0838900682608552,0.0672247037291526,48.35119528740936
last_value,30min,A,19,0.0831138073853316,0.0919123664498329,88.17121975999969
last_value,30min,B,36,0.1095213186213839,0.0821202881634235,81.09086862809298
