scenario,last_value,daily_naive,seasonal_mix_strict,topology_blend_strict,level_label,mean_delta_m,ci_low_m,ci_high_m,bh_p
random_missing,6.517253160425864,0.11649357462892995,6.51351846362741,6.247040172062678,0.5,0.0084244550115107,0.0020114861670582,0.0204480460853175,1.6479500618801611e-22
outage_block,82.26482084362864,3.9537682071784666,82.25038417083643,78.53564224271314,168h,0.08586547117347891,0.0583206194398854,0.1198804661722243,1.168860093299817e-25
gaussian_noise,134.30619559880296,13.208776204207801,133.63015285849295,129.4679628560818,0.2,0.1461457296368696,0.1085717531372339,0.1939074237173653,3.1306981210004624e-30
spike_noise,134.71617381380648,13.277469530711413,134.04735617487736,129.8714959336231,0.01,0.14554860110217452,0.1102293366133606,0.1918670092863638,2.363641295384335e-33
time_shift,36.91322676750599,0.8774090025782941,36.68667253690359,35.60285366067351,6step,0.04417060558638839,0.0371151307519974,0.0538347079724833,3.1306981210004624e-30
stuck_sensor,315.20663825905353,35.11187358141898,315.13310341569564,304.5263410225354,0.2,0.1954694387845002,0.0740019091611019,0.475403514668573,6.920279474034154e-06
