event_id,event_start,event_end,duration_hours,wet_hours,total_areal_rainfall_mm,total_localmax_rainfall_mm,peak_areal_hourly_mm,peak_localmax_hourly_mm,duration_class,rainfall_magnitude_class,magnitude_threshold_note,response_lag_hours,window_hours_with_lag,mean_event_quality_score,median_event_quality_score,mean_observed_fraction,mean_max_missing_gap_hours,mean_flat_step_rate,mean_diff_spike_rate,low_dynamic_sensor_fraction_1cm,low_dynamic_sensor_fraction_3cm,low_dynamic_sensor_fraction_5cm
E001,2021-08-11 15:00:00,2021-08-11 23:00:00,9,6,8.149999999999999,38.2,3.125,21.8,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,14.083333333333334,69.31261265182793,83.71693351896973,0.6241294444153532,5.250737463126844,0.21356194824088576,0.20358133455604566,0.02654867256637168,0.02654867256637168,0.05309734513274336
E002,2021-08-12 14:00:00,2021-08-12 16:00:00,3,3,8.612499999999999,32.3,5.5,16.0,short <=3 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,8.083333333333334,69.75477126606806,85.01050420168067,0.6293221421403158,2.9941002949852504,0.2314209043007113,0.19004093697555138,0.017699115044247787,0.07079646017699115,0.08849557522123894
E003,2021-08-12 21:00:00,2021-08-13 02:00:00,6,5,0.35000000000000003,1.7000000000000002,0.2375,1.3,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,11.083333333333334,70.69270427769193,83.43519225872168,0.641958879499634,3.946165191740413,0.2748586867743086,0.14941512811255497,0.035398230088495575,0.061946902654867256,0.07079646017699115
E004,2021-08-13 14:00:00,2021-08-13 16:00:00,3,3,0.5875,2.8000000000000003,0.475,2.2,short <=3 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,8.083333333333334,73.27091489707998,86.71568627450982,0.6732049995438372,2.6349557522123894,0.3055355890402981,0.10544765019503381,0.035398230088495575,0.07964601769911504,0.13274336283185842
E005,2021-08-17 14:00:00,2021-08-17 23:00:00,10,10,7.025,16.3,2.1125,4.3,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,15.083333333333334,72.88726829999428,85.53338462456807,0.6897765608957122,4.651917404129793,0.34380648752366083,0.12867019481082903,0.02654867256637168,0.05309734513274336,0.07964601769911504
E006,2021-08-18 04:00:00,2021-08-19 09:00:00,30,20,31.212500000000002,119.19999999999999,14.075,41.3,long >12 h,high Q80-Q95,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,35.083333333333336,71.776298703578,83.8048638178066,0.6909591575053077,10.599557522123893,0.30354513763532126,0.15420892398995564,0.017699115044247787,0.02654867256637168,0.035398230088495575
E007,2021-08-19 20:00:00,2021-08-20 03:00:00,8,6,4.225,18.299999999999997,3.15,13.7,medium 3-12 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,13.083333333333334,74.04563109576297,87.0059771493699,0.6888563215151344,4.044985250737463,0.27713064260919046,0.11836603137125205,0.04424778761061947,0.08849557522123894,0.11504424778761062
E009,2021-08-21 14:00:00,2021-08-21 18:00:00,5,5,1.4625,5.299999999999999,1.15,3.9,medium 3-12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,10.083333333333334,73.76615623087949,87.48848732356156,0.6821472975937981,3.1769911504424777,0.3317401029434403,0.08888332280707537,0.04424778761061947,0.1504424778761062,0.18584070796460178
E012,2021-08-23 15:00:00,2021-08-23 17:00:00,3,3,5.1125,16.2,3.75,9.7,short <=3 h,moderate Q50-Q80,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,8.083333333333334,73.57902842116614,84.91551979218926,0.7139859501870268,2.306784660766962,0.2302540893892508,0.17994797207415297,0.04424778761061947,0.061946902654867256,0.07964601769911504
E014,2021-08-31 10:00:00,2021-08-31 10:00:00,1,1,0.2,1.6,0.2,1.6,short <=3 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,6.083333333333333,74.96485753097053,86.00840336134455,0.7302703357982785,1.6165191740412979,0.24236204233467668,0.1919246539752976,0.061946902654867256,0.12389380530973451,0.1504424778761062
E015,2021-08-31 17:00:00,2021-09-01 08:00:00,16,12,2.5125,14.7,0.8999999999999999,4.6,long >12 h,low <=Q50,Q50=3.36 mm; Q80=13.81 mm; Q95=65.46 mm,6,21.083333333333332,80.00713558111465,86.33853541416566,0.8191961943404805,3.602507374631268,0.33365923724684976,0.10271916718659142,0.07079646017699115,0.10619469026548672,0.1504424778761062
