timestamp,event_id,network_observed_fraction,short_window_low_dynamic_fraction_1cm
2022-05-11 22:00:00,E150,0.9469026548672567,
2022-05-11 22:05:00,E150,0.9469026548672567,
2022-05-11 22:10:00,E150,0.9469026548672567,
2022-05-11 22:15:00,E150,0.9380530973451328,
2022-05-11 22:20:00,E150,0.9380530973451328,
2022-05-11 22:25:00,E150,0.9292035398230089,
2022-05-11 22:30:00,E150,0.9292035398230089,
2022-05-11 22:35:00,E150,0.9292035398230089,
2022-05-11 22:40:00,E150,0.9292035398230089,
2022-05-11 22:45:00,E150,0.9292035398230089,
2022-05-11 22:50:00,E150,0.9292035398230089,
2022-05-11 22:55:00,E150,0.9292035398230089,0.4424778761061947
2022-05-11 23:00:00,E150,0.9292035398230089,0.4247787610619469
2022-05-11 23:05:00,E150,0.9380530973451328,0.40707964601769914
2022-05-11 23:10:00,E150,0.9380530973451328,0.39823008849557523
2022-05-11 23:15:00,E150,0.9380530973451328,0.3893805309734513
2022-05-11 23:20:00,E150,0.9380530973451328,0.39823008849557523
2022-05-11 23:25:00,E150,0.9380530973451328,0.39823008849557523
2022-05-11 23:30:00,E150,0.9380530973451328,0.40707964601769914
2022-05-11 23:35:00,E150,0.9380530973451328,0.40707964601769914
2022-05-11 23:40:00,E150,0.9380530973451328,0.415929203539823
2022-05-11 23:45:00,E150,0.9469026548672567,0.40707964601769914
2022-05-11 23:50:00,E150,0.9469026548672567,0.40707964601769914
2022-05-11 23:55:00,E150,0.9469026548672567,0.39823008849557523
2022-05-12 00:00:00,E150,0.9557522123893806,0.3893805309734513
2022-05-12 00:05:00,E150,0.9469026548672567,0.3805309734513274
2022-05-12 00:10:00,E150,0.9380530973451328,0.3805309734513274
2022-05-12 00:15:00,E150,0.9380530973451328,0.37168141592920356
2022-05-12 00:20:00,E150,0.9380530973451328,0.36283185840707965
2022-05-12 00:25:00,E150,0.9469026548672567,0.35398230088495575
2022-05-12 00:30:00,E150,0.9380530973451328,0.36283185840707965
2022-05-12 00:35:00,E150,0.9380530973451328,0.37168141592920356
2022-05-12 00:40:00,E150,0.9557522123893806,0.36283185840707965
2022-05-12 00:45:00,E150,0.9557522123893806,0.35398230088495575
2022-05-12 00:50:00,E150,0.9469026548672567,0.36283185840707965
2022-05-12 00:55:00,E150,0.9469026548672567,0.36283185840707965
2022-05-12 01:00:00,E150,0.9380530973451328,0.34513274336283184
2022-05-12 01:05:00,E150,0.9380530973451328,0.34513274336283184
2022-05-12 01:10:00,E150,0.9203539823008849,0.3185840707964602
2022-05-12 01:15:00,E150,0.9203539823008849,0.3274336283185841
