duration_class,rainfall_magnitude_class,n_events,mean_event_quality_score,median_event_quality_score,mean_observed_fraction,mean_flat_step_rate,mean_low_dynamic_sensor_fraction_1cm,mean_total_areal_rainfall_mm,mean_duration_hours
long >12 h,high Q80-Q95,15,84.7120962556879,86.88428037863122,0.9212016481105254,0.25713322463368604,0.022418879056047204,34.044999999999995,44.46666666666667
long >12 h,low <=Q50,13,87.10575516823049,89.562491663332,0.929105321107381,0.32929856935880036,0.05173587474472431,1.8682692307692308,19.46153846153846
long >12 h,moderate Q50-Q80,17,86.93518944962632,88.95891690009337,0.9420645960938739,0.28184451660458765,0.03591879229567934,10.036764705882353,26.705882352941178
long >12 h,very high >Q95,5,84.10395725302831,85.86645485435977,0.9129996487975257,0.22320009413395128,0.008849557522123894,91.99250000000002,86.8
medium 3-12 h,low <=Q50,27,86.49948749320937,89.41176470588236,0.9226119645001378,0.32739546832351324,0.06588003933136677,1.2291666666666667,7.185185185185185
medium 3-12 h,moderate Q50-Q80,11,77.16487162659546,86.18616677440207,0.7810515191695029,0.25980670383559645,0.039420756234915526,6.5375,8.181818181818182
short <=3 h,low <=Q50,11,82.73392992044381,89.52545724172022,0.8521042944119824,0.31458626678193047,0.07723250201126307,0.7863636363636364,1.4545454545454546
short <=3 h,moderate Q50-Q80,2,71.6668998436171,84.96301199693497,0.6716540461636713,0.23083749684498106,0.030973451327433628,6.862499999999999,3.0
