variant,variant_type,w_coverage,w_continuity,w_stability,w_plausibility,w_temporal_consistency,threshold_A,threshold_B,threshold_C,grade_exact_agreement,grade_adjacent_agreement,quadratic_weighted_kappa,score_spearman_vs_base,scenario_rank_spearman_vs_base,top_failure_same_as_base,bottom_failure_same_as_base,exact_failure_order_same_as_base,failure_order
threshold_A+0_B-2_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,73.0,60.0,0.9292035398230089,1.0,0.965601217656012,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B-2_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,73.0,63.0,0.8938053097345132,1.0,0.9500073735437252,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B+0_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,75.0,57.0,0.9734513274336284,1.0,0.986719943589141,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B+0_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,75.0,63.0,0.9646017699115044,1.0,0.9832617390016294,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B+2_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,77.0,57.0,0.9469026548672568,1.0,0.9733929832823168,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B+2_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,77.0,60.0,0.9734513274336284,1.0,0.9870189546237794,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+0_B+2_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,85.0,77.0,63.0,0.9380530973451328,1.0,0.97065914907823,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B-2_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,73.0,57.0,0.8407079646017699,1.0,0.9151085141903172,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B-2_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,73.0,60.0,0.8672566371681416,1.0,0.9310779490098808,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B-2_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,73.0,63.0,0.831858407079646,1.0,0.9155953925384284,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B+0_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,75.0,57.0,0.911504424778761,1.0,0.9526006711409396,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B+0_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,75.0,60.0,0.9380530973451328,1.0,0.967678666285294,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A+2_B+0_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,87.0,75.0,63.0,0.9026548672566372,1.0,0.9509025555950548,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
